x_coord,y_coord,presence,elevation,slope,aspect
556032.3176557742,-2300999.985571326,0,223.93831,11.046015,159.02599
722885.1591117461,-3887623.358357847,0,28.358273,73.745575,254.15927
1127758.5740642713,-3505366.8627457516,0,79.13002,11.898839,43.51567
1056504.5174707037,-3795837.7023447244,0,66.90587,53.257225,32.563435
-701329.955039326,-3441148.1294988813,0,166.66693,25.1713,261.71973
-688211.8025971603,-3000027.181140054,0,449.55075,51.081856,159.55617
1173976.5014268844,-3585692.186772703,0,124.06087,52.535652,115.42277
-461724.3181553428,-2361751.1941891494,0,392.60327,68.07732,10.302833
-1394296.3122615903,-2967876.1741902493,0,487.02466,15.769741,5.9196796
-1288430.0684381388,-2243560.5329406415,0,62.084095,51.836025,192.43558
-72990.1854502492,-2712341.8060711,0,486.00565,43.6152,17.142447
-1378242.2428140128,-2542521.7114016353,0,720.78595,73.70938,250.37889
120261.9127238704,-2748406.0856880965,0,426.9742,18.86422,218.32034
-1338117.5411627595,-3310738.747992701,0,311.53937,65.69086,152.07289
-88572.85172997812,-2237235.263880322,0,410.0311,18.021858,178.09105
-868901.5002910028,-2486636.9132880014,0,291.87012,68.860466,198.58498
-1264407.8099083153,-2209610.5524185095,0,21.337963,15.457812,146.64488
1047393.6890858446,-2531578.4257209185,0,202.18268,39.316746,87.079506
-308384.3498235978,-2281367.0536140446,0,332.3776,36.281696,319.85443
-1256567.1484857455,-2981237.4099559067,0,563.4168,57.548832,27.366613
