scientificName,x_coord,y_coord,presence,elevation,slope,aspect,hcas
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,238003.93005738597,-2541288.8472421155,1,590.7155,82.04132,52.553413,0.7389761
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,75087.80092943367,-2549396.4886939167,1,697.1233,85.455154,60.68418,0.7553093
Amytornis purnelli,183045.32561470466,-2558515.8141349624,1,631.4591,80.01679,31.105562,0.75495785
Amytornis purnelli,229222.72972706152,-2102026.0622451943,1,377.07327,57.06689,17.74977,0.5772096
Amytornis purnelli,181255.9325114534,-2554719.996758293,1,650.0329,79.68857,229.75677,0.85258234
Amytornis purnelli,-42841.72274253931,-2618899.929860716,1,633.71277,82.68744,277.29944,0.8036559
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,54531.616936435494,-2542926.2445191056,1,996.9783,87.637634,230.49364,0.5903034
Amytornis purnelli,139033.70501497775,-2559251.7931510066,1,711.74554,60.564987,263.2244,0.2537282
Amytornis purnelli,-42841.72274253931,-2618899.929860716,1,633.71277,82.68744,277.29944,0.8036559
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,-42300.138232019905,-2618639.1338604125,1,672.5022,88.41626,349.99567,0.21641393
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,75087.80092943367,-2549396.4886939167,1,697.1233,85.455154,60.68418,0.7553093
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,203256.14829309267,-2563882.7801009584,1,548.31995,86.07226,158.88867,0.02367456
Amytornis purnelli,-42751.17607350017,-2621655.0488915797,1,654.9761,79.61463,251.20915,0.76377213
Amytornis purnelli,70037.9317744102,-2555056.511971736,1,648.99036,86.55298,11.8358965,0.7448667
Amytornis purnelli,238003.93005738597,-2541288.8472421155,1,590.7155,82.04132,52.553413,0.7389761
Amytornis purnelli,185205.08593763283,-2559074.686989585,1,600.036,64.20504,62.00669,0.024844803
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,75087.80092943367,-2549396.4886939167,1,697.1233,85.455154,60.68418,0.7553093
Amytornis purnelli,173459.45268579386,-2555654.91620677,1,610.0345,79.65356,133.52596,0.7501158
Amytornis purnelli,203256.14829309267,-2563882.7801009584,1,548.31995,86.07226,158.88867,0.02367456
Amytornis purnelli,188329.15958534437,-2561254.4863051195,1,568.28094,85.58456,126.79106,0.73795104
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,241800.84349537693,-2539586.742761551,1,550.028,82.811455,13.810217,0.07986368
Amytornis purnelli,187538.62667104686,-2560893.319206347,1,748.2896,87.95334,189.62703,0.5829132
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,173459.45268579386,-2555654.91620677,1,610.0345,79.65356,133.52596,0.7501158
Amytornis purnelli,197002.25427907996,-2321946.1251343726,1,514.90656,41.730625,66.284134,0.6414536
Amytornis purnelli,75087.80092943367,-2549396.4886939167,1,697.1233,85.455154,60.68418,0.7553093
Amytornis purnelli,303229.52701974293,-2533870.358056614,1,552.3823,88.26148,243.61342,0.5526468
Amytornis purnelli,242267.0904551934,-2539331.3936445406,1,555.43994,75.47713,129.10815,0.8638582
Amytornis purnelli,75087.80092943367,-2549396.4886939167,1,697.1233,85.455154,60.68418,0.7553093
Amytornis purnelli,52518.46708302568,-2543192.5879561696,1,697.2005,87.866165,101.64541,0.72271115
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,230263.95418409666,-2102515.853330218,1,381.73428,81.617256,23.057203,0.6462303
Amytornis purnelli,178556.13386525222,-2328159.196252059,1,521.6719,81.10228,142.6212,0.054825325
Amytornis purnelli,129269.0469224176,-2559910.871867177,1,714.7974,47.473106,347.25446,0.863453
Amytornis purnelli,-42841.72274253931,-2618899.929860716,1,633.71277,82.68744,277.29944,0.8036559
Amytornis purnelli,-42841.72274253931,-2618899.929860716,1,633.71277,82.68744,277.29944,0.8036559
Amytornis purnelli,52518.46708302568,-2543192.5879561696,1,697.2005,87.866165,101.64541,0.72271115
Amytornis purnelli,52518.46708302568,-2543192.5879561696,1,697.2005,87.866165,101.64541,0.72271115
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,181255.9325114534,-2554719.996758293,1,650.0329,79.68857,229.75677,0.85258234
Amytornis purnelli,175111.94373433242,-2560761.506938134,1,586.5752,11.169924,171.42282,0.36430883
Amytornis purnelli,-42841.72274253931,-2618899.929860716,1,633.71277,82.68744,277.29944,0.8036559
Amytornis purnelli,130062.60974132782,-2555977.974464619,1,841.20825,83.57871,114.456924,0.6548137
Amytornis purnelli,52518.46708302568,-2543192.5879561696,1,697.2005,87.866165,101.64541,0.72271115
Amytornis purnelli,183507.3917043752,-2558108.5109564452,1,613.26086,35.38573,72.135284,0.7780243
Amytornis purnelli,209221.4730063991,-2593771.9079613104,1,542.6592,64.49237,358.63455,0.38484702
Amytornis purnelli,229530.57546626587,-2102025.461490529,1,374.11,54.892754,101.69185,0.4982577
Amytornis purnelli,-42841.72274253931,-2618899.929860716,1,633.71277,82.68744,277.29944,0.8036559
Amytornis purnelli,174138.17849976537,-2558941.1696906276,1,592.2251,29.948153,121.04443,0.6899603
Amytornis purnelli,-42841.72274253931,-2618899.929860716,1,633.71277,82.68744,277.29944,0.8036559
